==WARNING== Note: Running with uncontrolled GPU caches. Profiling results may be inconsistent.
==WARNING== Note: Running with unmodified GPU clocks. If not controlled otherwise, profiling results may be inconsistent.
==PROF== Connected to process 66 (/usr/bin/python3.12)
==PROF== Disconnected from process 66
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","66","python3.12","127.0.0.1","<unnamed>::fm_down_kernel(const __half *, const unsigned short *const *, const __half *const *, float *, const long *, const __half *, const int *, const int *, const int *, const int *, int, int)","1","7","(256, 1, 1)","(16, 288, 1)","0","12.1","Launch Statistics","Waves Per SM","","48",
"0","66","python3.12","127.0.0.1","<unnamed>::fm_down_kernel(const __half *, const unsigned short *const *, const __half *const *, float *, const long *, const __half *, const int *, const int *, const int *, const int *, int, int)","1","7","(256, 1, 1)","(16, 288, 1)","0","12.1","Occupancy","Max Active Clusters","cluster","0",
"0","66","python3.12","127.0.0.1","<unnamed>::fm_down_kernel(const __half *, const unsigned short *const *, const __half *const *, float *, const long *, const __half *, const int *, const int *, const int *, const int *, int, int)","1","7","(256, 1, 1)","(16, 288, 1)","0","12.1","Occupancy","Max Cluster Size","block","8",
"0","66","python3.12","127.0.0.1","<unnamed>::fm_down_kernel(const __half *, const unsigned short *const *, const __half *const *, float *, const long *, const __half *, const int *, const int *, const int *, const int *, int, int)","1","7","(256, 1, 1)","(16, 288, 1)","0","12.1","Occupancy","Overall GPU Occupancy","%","0",
"0","66","python3.12","127.0.0.1","<unnamed>::fm_down_kernel(const __half *, const unsigned short *const *, const __half *const *, float *, const long *, const __half *, const int *, const int *, const int *, const int *, int, int)","1","7","(256, 1, 1)","(16, 288, 1)","0","12.1","Occupancy","Cluster Occupancy","%","0",
"0","66","python3.12","127.0.0.1","<unnamed>::fm_down_kernel(const __half *, const unsigned short *const *, const __half *const *, float *, const long *, const __half *, const int *, const int *, const int *, const int *, int, int)","1","7","(256, 1, 1)","(16, 288, 1)","0","12.1","Occupancy","Block Limit Barriers","block","24",
"0","66","python3.12","127.0.0.1","<unnamed>::fm_down_kernel(const __half *, const unsigned short *const *, const __half *const *, float *, const long *, const __half *, const int *, const int *, const int *, const int *, int, int)","1","7","(256, 1, 1)","(16, 288, 1)","0","12.1","Occupancy","Block Limit SM","block","24",
"0","66","python3.12","127.0.0.1","<unnamed>::fm_down_kernel(const __half *, const unsigned short *const *, const __half *const *, float *, const long *, const __half *, const int *, const int *, const int *, const int *, int, int)","1","7","(256, 1, 1)","(16, 288, 1)","0","12.1","Occupancy","Block Limit Registers","block","2",
"0","66","python3.12","127.0.0.1","<unnamed>::fm_down_kernel(const __half *, const unsigned short *const *, const __half *const *, float *, const long *, const __half *, const int *, const int *, const int *, const int *, int, int)","1","7","(256, 1, 1)","(16, 288, 1)","0","12.1","Occupancy","Block Limit Shared Mem","block","3",
"0","66","python3.12","127.0.0.1","<unnamed>::fm_down_kernel(const __half *, const unsigned short *const *, const __half *const *, float *, const long *, const __half *, const int *, const int *, const int *, const int *, int, int)","1","7","(256, 1, 1)","(16, 288, 1)","0","12.1","Occupancy","Block Limit Warps","block","6",
